Periodo,Billetes_Monedas
2000/12,182.0028923
2001/01,164.4506556
2001/02,159.626907
2001/03,160.2687155
2001/04,157.7915287
2001/05,160.3100925
2001/06,163.2575791
2001/07,161.9934945
2001/08,162.1637886
2001/09,164.8990509
2001/10,163.8291804
2001/11,173.831136
2001/12,198.8803218
2002/01,186.5421075
2002/02,181.646178
2002/03,190.99857
2002/04,182.5830419
2002/05,190.993341
2002/06,191.9306985
2002/07,189.7433854
2002/08,190.3857798
2002/09,192.0045977
2002/10,191.783884
2002/11,202.2324983
2002/12,232.1884835
2003/01,223.470451
2003/02,218.3466301
2003/03,213.6489581
2003/04,213.7522318
2003/05,218.7614019
2003/06,216.8848022
2003/07,214.7892899
2003/08,216.9308607
2003/09,214.3248929
2003/10,221.8690291
2003/11,228.9633614
2003/12,263.5477622
2004/01,251.684813
2004/02,246.6582682
2004/03,239.5941621
2004/04,247.5524689
2004/05,250.4780837
2004/06,249.9586908
2004/07,253.209837
2004/08,247.2654974
2004/09,247.0833239
2004/10,256.4415319
2004/11,261.4083071
2004/12,301.1144612
2005/01,286.2428429
2005/02,279.4754696
2005/03,275.7487864
2005/04,276.8744699
2005/05,278.0150612
2005/06,280.4101878
2005/07,283.2718327
2005/08,274.7192907
2005/09,282.3187502
2005/10,285.511997
2005/11,290.3554473
2005/12,336.0732543
2006/01,318.6536961
2006/02,312.792725
2006/03,318.642681
2006/04,318.8551994
2006/05,322.6664817
2006/06,332.3557529
2006/07,332.2961895
2006/08,323.2699855
2006/09,329.9073608
2006/10,327.9954567
2006/11,347.3579487
2006/12,389.4713962
2007/01,366.7441395
2007/02,359.358747
2007/03,367.2825116
2007/04,359.960622
2007/05,359.9939373
2007/06,366.1519317
2007/07,366.7490953
2007/08,367.9546182
2007/09,367.2999572
2007/10,364.9202974
2007/11,382.3195605
2007/12,429.9795899
2008/01,405.9796342
2008/02,403.3929494
2008/03,397.9413374
2008/04,393.0842152
2008/05,399.608153
2008/06,395.4484964
2008/07,403.4946994
2008/08,404.4379617
2008/09,403.5692058
2008/10,423.8807907
2008/11,436.0386503
2008/12,494.3522628
2009/01,479.6995266
2009/02,475.2588083
2009/03,471.4542477
2009/04,470.5148792
2009/05,473.8919108
2009/06,468.3438244
2009/07,474.7498182
2009/08,464.943904
2009/09,460.087018
2009/10,468.1862866
2009/11,478.2784623
2009/12,536.8244625
2010/01,519.5173911
2010/02,513.0186573
2010/03,516.5277014
2010/04,508.5270323
2010/05,517.3351555
2010/06,514.6756338
2010/07,525.9392535
2010/08,518.7489811
2010/09,514.0121123
2010/10,522.8477545
2010/11,531.6231211
2010/12,599.0583607
2011/01,575.3388188
2011/02,568.7622761
2011/03,559.8128468
2011/04,563.8702442
2011/05,563.7553003
2011/06,561.2978
2011/07,568.1558343
2011/08,561.100355
2011/09,568.6163625
2011/10,575.6348657
2011/11,588.5994929
2011/12,665.5251557
2012/01,639.2518631
2012/02,634.6766482
2012/03,642.7982615
2012/04,646.4709356
2012/05,656.6235347
2012/06,669.5197319
2012/07,660.889321
2012/08,658.0744532
2012/09,647.5705434
2012/10,649.6447632
2012/11,669.4976748
2012/12,733.4517251
2013/01,695.9509447
2013/02,686.5505007
2013/03,691.5641136
2013/04,678.9144293
2013/05,688.5782052
2013/06,686.576437
2013/07,680.1136727
2013/08,683.3237033
2013/09,681.6703803
2013/10,687.9896363
2013/11,711.2740078
2013/12,792.2626023
2014/01,769.6046746
2014/02,771.7913585
2014/03,766.9601909
2014/04,768.7336135
2014/05,777.2562499
2014/06,783.0019693
2014/07,783.2086646
2014/08,787.82021
2014/09,788.660081
2014/10,811.7157347
2014/11,829.4687319
2014/12,928.0518026
2015/01,910.0895428
2015/02,917.4044555
2015/03,931.8976612
2015/04,933.0919946
2015/05,943.0563239
2015/06,946.6479636
2015/07,961.2742968
2015/08,964.823695
2015/09,956.9548719
2015/10,975.4222851
2015/11,993.9737324
2015/12,1087.271129
2016/01,1067.781584
2016/02,1071.562314
2016/03,1064.980087
2016/04,1078.102012
2016/05,1095.923236
2016/06,1105.334085
2016/07,1116.603722
2016/08,1111.377366
2016/09,1124.689216
2016/10,1135.59532
2016/11,1157.805654
2016/12,1261.697098
2017/01,1236.669606
2017/02,1234.574733
2017/03,1236.434261
2017/04,1235.342033
2017/05,1234.585813
2017/06,1240.499938
2017/07,1238.358806
2017/08,1223.080023
2017/09,1226.669132
2017/10,1240.531999
2017/11,1257.536649
2017/12,1372.883844
2018/01,1337.103549
2018/02,1334.882603
2018/03,1356.624271
2018/04,1353.271169
2018/05,1362.367307
2018/06,1393.414137
2018/07,1380.780884
2018/08,1380.344335
2018/09,1366.830626
2018/10,1373.773785
2018/11,1407.445049
2018/12,1494.948943
2019/01,1442.658585
2019/02,1424.31265
2019/03,1417.029864
2019/04,1409.808964
2019/05,1423.278735
2019/06,1420.639324
2019/07,1403.852286
2019/08,1412.117305
2019/09,1402.192858
2019/10,1401.508789
2019/11,1442.560805
2019/12,1548.852405
2020/01,1527.157237
2020/02,1513.835901
2020/03,1565.801351
2020/04,1625.892018
2020/05,1682.509577
